MEP,GP,EHW,IB,POSDB,NGP,SNUS
"BECKER, Heinz K.",[RED],[RED],[RED],[RED],,
"KADENBACH, Karin",[GREEN],[GREEN],[GREEN],[GREEN],,
"KARAS, Othrmar",,,,,,
"KÖSTINGER, Elisabeth",,,,,,
"LEICHTFRIED, Jörg",,,,,,
"LICHTENBERGER, Eva",,,,,,
"LUNACEK, Ulrike",,,,,,
Martin EHRENHAUSER,,,,,,
"MARTIN, Hans-Peter",,,,,,
"MÖLZER, Andreas",,,,,,
"OBERMAYR, Franz",,,,,,
PIRKER Hubert,,,,,,
"REGNER, Evelyn",,,,,,
"RÜBIG, Paul",[GREEN],[GREEN],[GREEN],[GREEN],,
"SEEBER, Richard",[GREEN],,,[GREEN],,
"STADLER, Ewald",,,,,,
"SWOBODA, Johannes",,,,,,
"WEIDENHOLZER, Josef",,,,,,
WERTHMANN Angelica,,,,,,
"BINEV, Slavi",[GREEN],[GREEN],[GREEN],[GREEN],,
"HYUSMENOVA, Fillz Hakaeva",[RED],[RED],[RED],[RED],,
"ILCHEV, Stanimir",,,,,,
"IOTOVA, lliana Malinova",,,,,,
"IVANOVA, Lliana",,,,,,
"KALFIN, Ivaylo",,,,,,
"KAZAK, Metin",,,,,,
"KIRILOV, Evgeni",,,,,,
KOVATCHEV Andrey,[GREEN],[GREEN],[GREEN],[GREEN],,
"GABRIEL, Mariya",[GREEN],[GREEN],[GREEN],[GREEN],,
"NEYNSKY, Nadezhda",,,,,,
"PANAYOTOV, Vladko Todorov",,,,,,
"PARVANOVA, Antonia",[RED],[RED],[RED],[RED],,
"STOYANOV, Dimitar",[GREEN],[GREEN],[GREEN],[GREEN],,
"STOYANOV, Emil",,,,,,
"URUTCHEV, Vladimir",[GREEN],[GREEN],[GREEN],[GREEN],,
"VIGENIN, Kristian",,,,,,
"HATZIGEORGIOU, Takis",[GREEN],[GREEN],[GREEN],[GREEN],,
"KASOULIDES, Ioannis",[GREEN],[GREEN],[GREEN],[GREEN],,
"MAVRONICOLAS, Kyriacos",[GREEN],[GREEN],[GREEN],[GREEN],,
"PAPADOPOULOU, Antlgoni",,,,,,
"THEOCHAROUS, Elenl",,,,,,
"TRIANTAPHYLLIDES, Kyriacos",[GREEN],[GREEN],[GREEN],[GREEN],,
"BREZINA, Jan",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"BRZOBOHATA, Zuzana",,,,,,
"CABRNOCH, Milan",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"CESKOVA, Andrea",,,,,,
"DUSEK, Robert",,,,,,
"FAJMON, Hynek",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"FALBR, Richard",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"HAVEL, Jiri",,,,,,
"KOHLÍCEK, Jaromír",,,,,,
"KOZUSNIK, Edvard",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],[RED]
"MASTÁLKA, Jiri",,[GREEN],[GREEN],[GREEN],,[RED]
"OUZKY, Miroslav",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"POC, Pavel",[RED],[RED],[RED],[RED],[RED],[RED]
"RANSDORF, Miloslav",,,,,,
"REMEK, Vladimir",[GREEN],[GREEN],,[GREEN],,[RED]
"ROITHOVÂ, Zuzana",[GREEN],[GREEN],,[GREEN],,[RED]
"ROUÎEK, Libor",,,,,,
"SENHALOVA, Olga",,,,,,
"STREJCEK, Ivo",,,,,,
"TOSENOVSKY, Evzen",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"VLASÂK, Oldrlch",,,,,,
"ZAHRADIL, Jan",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"AUKEN, Margrete",,[RED],[RED],[RED],,
"BENDSTEN, Bendt",[GREEN],,,[GREEN],[GREEN],[GREEN]
"CHRISTENSEN, Ole",[RED],[RED],[RED],[RED],,[GREEN]
"JENSEN, Anne E.",[RED],[RED],[RED],[RED],,
"J0RGENSEN, Dan",[GREEN],[GREEN],[GREEN],[GREEN],,[GREEN]
"L0KKEGAARD, Morten",,,,,,
"MESSERSCHMIDT, Morten",,,,,,
"ROHDE, Jens",[GREEN],,,[GREEN],,[GREEN]
"ROSBACH ANDERSEN, Anna",[GREEN],[GREEN],[GREEN],[GREEN],[GREEN],[GREEN]
"SCHALDEMOSE, Christel",[GREEN],[GREEN],,[GREEN],,[GREEN]
"S0NDERGAARD, Soren Bo",[RED],[RED],,[RED],,[GREEN]
"THOMSEN, Britta",,,,,,
"TURUNEN, Emilie",[RED],[RED],[RED],[RED],,
"KELAM, Tunne",[GREEN],[GREEN],,[GREEN],,
"OJULAND, Kristiina",,,,,,
"OVIIR, Siirl",[GREEN],[GREEN],[GREEN],[GREEN],,
"PADAR, Ivarl",[RED],[RED],[GREEN],[GREEN],[GREEN],
"SAVISAAR, Villa",,,,,,
"TARAND, Indrek",[GREEN],[GREEN],[GREEN],[GREEN],,
"CRONBERG, Tarja",[RED],[RED],[RED],[RED],,[RED]
"ESSAYAH, Sari",[GREEN],[GREEN],,,,
"HAGLUND, Carl",,,,,,
"HASSI, Satu",,,,,,
"JAAKONSAARI, Liisa",,,,,,
"JAATTEENMAKI, Anneli",,,,,,
"KORHOLA, Eiia-Rlltta",,,,,,
"MANNER, Rllka",,,,,,
Mitro Repo,,,,,,
Petri Sarvamaa,,,,,,
"PIETIKÄNEN, Sirpa",[GREEN],,,,,
"TAKKULA, Hannu",,,,,,
"TERHO, Sampo",,,,,,
"ABAD, Damien",,,,,,
"ALFONSI, Francois",,,,,,
"AUCONIE, Sophie",,,,,,
"AUDY, Jean-Pierre",,,,,,
"BELIER, Sandrine",,,,,,
"BENARA8-ATTOU, Malika",,,,,,
"BENNAHMIAS, Jean-Luc",,,,,,
"BERÈS, Pervenche",,,,,,
"BESSET, Jean-Paul",,,,,,
BOULLAND Philippe,,,,,,
"BOVE, José",,,[GREEN],,,
"CADEC, Alain",,,,,,
"CASTEX, Françoise",,,,,,
"CAVADA, Jean-Marie",,,,,,
"COCHET, Yves",,,,,,
"COHN-BENDIT, Daniel",,,,,,
"DANJEAN, Arnaud",,,,,,
"DANTIN, Michel",[GREEN],[GREEN],[GREEN],,,
"DATI, Rachida",,,,,,
"DAUI, Joseph",,,,,,
"DE SARNEZ, Marielle",,,,,,
"DE VEYRAC, Christine",[GREEN],[GREEN],[GREEN],[GREEN],,
"de VILLIERS, Philippe",,,,,,
"DELLI, Karima",,,,,,
"DÉSIR, Harlem",,,,,,
"FLAUTRE, Hélène",,,,,,
"FRANCO, Gaston",[GREEN],[GREEN],[GREEN],[GREEN],,
"GALLO, Marielle",[GREEN],[GREEN],,,,
"GAUZÈS, Jean-Paul",,,,,,
"GOLLN1SCH, Bruno",,,,,,
"GOULARD, Sylvie",,,,,,
"GRELIER, Estelle",,,,,,
"GREZE, Catherine",,,,,,
"GRIESBECK, Nathalie",,,,,,
"GROSSETÊTE, Françoise",,,,,,
"GUILLAUME, Sylvie",,,,,,
"HENIN, Jacky",,,,,,
"HOANG NGOC, Liem",,,,,,
HORTEFEUX Brice,,,,,,
"JADOT, Yannick",,,,,,
"JOLY, Eva",,,,,,
"JUVIN, Philippe",[GREEN],,,[GREEN],,
"KILL NIELSEN, Nicole",,,,,,
"LAMASSOURE, Alain",,,,,,
LE BRUN Agnès,[GREEN],[GREEN],,,,
LE GRIP Constance,[GREEN],[GREEN],,[GREEN],,
"LE HYARIC, Patrick",,,,,,
"LE PEN, Jean-Marie",,,,,,
"LE PEN, Marine",,,,,,
"LEPAGE, Corinne",[GREEN],[GREEN],,,,
"MATHIEU, Véronique",,,,,,
"MELENCHON, Jean-Luc",,,,,,
"MORIN, Elisabeth",,,,,,
OMARJEE Younous,,,,,,
"PARGNEAUX, Gilles",,,,,,
"PONGA, Maurice",,,,,,
"PROUST, Franck",,,,,,
"RIQUET, Dominique",,,,,,
"RIVASI, Michèle",,,,,,
"ROATTA, Jean",,,,,,
"ROCHEFORT, Robert",,,,,,
"SAIFI, Tokia",,,,,,
"SANCHEZ-SCHMID, Marie-Thérèse",,,,,,
"STRIFFLER, Michèle",,,,,,
"TIROLIEN, Patrice",,,,,,
"TRAUTMANN, Catherine",,,,,,
"VERGIAT, Marie-Christine",,,,,,
"VERGNAUD, Bernadette",[GREEN],[RED],,[GREEN],,
"VLASTO, Dominique",,,,,,
"WEBER, Henri",,,,,,
"ALBRECHT, Jan Philipp",,,,,,
"ALVARO, Alexander",,,,,,
"BALZ, Burkhard",,,,,,
Birgit Collin Langen,,,,,,
"BISKY, Lothar",,,,,,
"BÖGE, Reimer",,,,,,
"BRANTNER, Franziska Katharina",,,,,,
"BROK, Elmar",,,,,,
"BULLMANN, Udo",,,,,,
"BÜTIKOFER, Reinhard",,,,,,
"CASPARY, Daniel",,,,,,
"CHATZIMARKAKIS, Jorgo",[GREEN],[GREEN],,[GREEN],,
"CRAMER, Michael",,,,,,
"CREUTZMANN, Jürgen",[GREEN],[GREEN],[GREEN],[GREEN],,
"DESS, Albert",,,,,,
"EHLER, Christian",,,,,,
"ERNST, Cornelia",,,,,,
"ERTUG, Ismail",,,,,,
"FERBER, Markus",,,,,,
"FLECKENSTEIN, Knut",,,,,,
"FLORENZ, Karl-Heinz",[RED],[RED],[RED],[RED],[RED],
"GAHLER, Michael",,,,,,
"GEBHARDT, Evelyne",,,,,,
"GEIER, Jens",,,,,,
"GIEGOLD, Sven",,,,,,
"GLANTE, Norbert",,,,,,
"GRÄSSLE, Ingeborg",,,,,,
"GROOTE, Matthias",[GREEN],[GREEN],,[GREEN],,
"HAFNER, Gerald",,,,,,
"HÄNDEL, Thomas",,,,,,
"HARMS, Rebecca",,,,,,
"HAUG, Jutta",,,,,,
"HÄUSLING, Martin",,,,,,
"HIRSCH, Nadja",,,,,,
"HOHLMEIER, Monika",,,,,,
"JAHR, Dieter Peter",,,,,,
"JEGGLE, Elisabeth",,,,,,
"KAMMEREVERT, Petra",,,,,,
"KASTLER, Martin",,,,,,
"KELLER, Franzisca Maria",,,,,,
"KLASS, Christa",,,,,,
"KUNZ, Wolf",,,,,,
"KLUTE, Jürgen",,,,,,
"KOCH, Dieter-Lebrecht",,,,,,
"KOCH-MEHRIN, Silvana",,,,,,
"KRAHMER, Holger",[GREEN],[GREEN],,[GREEN],,
"KREHL, Constanze Angela",,,,,,
"KREISSL-DÖRFLER, Wolfgang",,,,,,
"KUHN, Werner",,,,,,
LAMBSDORFF Alexander Graf,,,,,,
"LANGE, Bernd",,,,,,
"LANGEN, Werner",,,,,,
"LEHNE, Klaus-Heiner",[GREEN],[GREEN],,[GREEN],,
"LEINEN, Jo",[GREEN],[GREEN],,[GREEN],,
"LIESE, Peter",,[RED],,[RED],,
"LOCHBIHLER, Barbara Elisabeth",,,,,,
"LÖSING, Sabine",,,,,,
"MANN, Thomas",,,,,,
"MAYER, Hans-Peter",,,,,,
"MEISSNER, Geslne",,,,,,
"NEUSER, Norbert",,,,,,
"NIEBLER, Angelika",[GREEN],[GREEN],,[GREEN],,
"PACK, Doris",,,,,,
"PIEPER, Markus",,,,,,
"POSSELT, Bernd",,,,,,
"POTTERING, Hans-Gert",,,,,,
"QUISTHOUDT-ROWOHL, Godelieve",,,,,,
"RAPKAY, Bernhard",,,,,,
"REIMERS, Britta",,,,,,
"REUL, Herbert",[GREEN],[GREEN],[GREEN],[GREEN],,
"RODUST, Ulrike",,,,,,
"ROTH-BEHRENDT, Dagmar",,,,,,
"RÜHLE, Heide",,,,,,
"SCHNELLHARDT, Horst",[GREEN],,,[GREEN],,
"SCHNIEBER-JASTRAM, Birgit",,,,,,
"SCHOLZ, Helmut",,,,,,
"SCHROEDTER, Elisabeth",,,,,,
"SCHULZ, Martin",,,,,,
"SCHULZ, Werner Gustav",,,,,,
"SCHWAB, Andreas",[GREEN],[GREEN],,[GREEN],,
"SIMON, Peter",,,,,,
"SIPPEL, Birgit",,,,,,
"SOMMER, Renate",[GREEN],[GREEN],,[GREEN],,
"STEINRUCK, Jutta",,,,,,
"THEIN, Alexandra",,,,,,
"THEURER, Michael",,,,,,
"TRÜPEL, Helga",,,,,,
"ULMER, Thomas",[GREEN],,,[GREEN],,
"VERHEYEN, Sabine",,,,,,
"VOSS, Axel",,,,,,
"WEBER, Manfred",,,,,,
"WEILER, Barbara",,,,,,
"WEISGERBER, Anja",[GREEN],[GREEN],,[GREEN],,
"WESTPHAL, Kerstin",,,,,,
"WIELAND, Rainer",[GREEN],[GREEN],,[GREEN],,
"WILS, Sabine",,,,,,
"WINKLER, Hermann",,,,,,
"ZELLER,Joachim",,,,,,
"ZIMMER, Gabriele",,,,,,
ANGOURAKIS Charalampos,,,,,,
"ARSENIS, Kriton",[RED],,[GREEN],,,
"CHOUNTIS, Nikolaos",,,,,,
CHRYSOGELOS Nikos,,,,,,
DANELLIS Spyros,[GREEN],[GREEN],[GREEN],[GREEN],[RED],[RED]
Dimitrios DROUTSAS,,,,,,
"GIANNAKOU, Marietta",,,,,,
"KOPPA, Maria-Eleni",,,,,,
"KOUMOUTSAKOS, Giorgos",[GREEN],[GREEN],[GREEN],[GREEN],[RED],[RED]
"KRATSA-TSAGAROPOULOU, Rodi",,,,,,
"PALIADELI, Chrysoula",,,,,,
"PAPANIKOLAOU, Giorgos",,,,,,
PAPASTOMKOS Giorgos,[GREEN],[GREEN],[GREEN],[GREEN],[RED],[RED]
"PODIMATA, Anni",[GREEN],[GREEN],[GREEN],[GREEN],,
"POUPAKIS, Kostas",[GREEN],[GREEN],[GREEN],[GREEN],,
"RAPTI, Sylvana",[RED],[RED],[GREEN],[GREEN],,
SALAVRAKOS Nikolaos,,,,,,
"SKYLAKAKIS, Theodoros",[GREEN],[GREEN],[GREEN],[GREEN],,
"STAVRAKAKIS, Giorgos",,,,,,
"TOUSSAS, Georgios",,,,,,
"TSOUKALAS, Loannis",,,,,,
"TZAVELLA, Niki",[GREEN],[GREEN],[GREEN],[GREEN],[RED],[RED]
KOVÁCS Béla,,,,,,
BAGÓ Zoltán,[RED],[RED],[GREEN],,,
"BOKROS, Lajos",,,,,,
"DEUTSCH, Tamas",,,,,,
"GAL, Kinga",,,,,,
GÁLL-PELCZ lldikó,,,,,,
"GLATTFELDER, Béla",,,,,,
"GÖNCZ, Kinga",,,[GREEN],,,
"GULYASNE, Gurmai Zita",,,,,,
"GYÜRK, Andrés",,,,,,
"HANKISS, Agnes",,,,,,
"HERCZOG, Edit",,,,,,
"JÁRÓKA, Livia",[GREEN],,,,,
"KOSA, Adam",,,,,,
"MORVAI, Krisztina",,,,,,
"ÖRY, Csaba",,,,,,
"SCHOPFLIN, György",,,,,,
"SURJÁN, László",,,,,,
"SZAJER, Josef",,,,,,
"SZEGEDI, Csanad",,,,,,
"TABAJD1, Csaba Sándor",,,,,,
"ALBERTINI, Gabriele",,,,,,
"ALFANO, Sonia",,,,,,
"ALLAM, Magdi Christiano",,,,,,
"ANGELILLI, Roberta",[GREEN],,[GREEN],,,
"ANTINORO, Antonello",,,,,,
"ANTONIOZZI, Alfredo",[GREEN],[GREEN],,[GREEN],,
"ARLACCHI, Pino",,,,,,
"BALDASSARRE, Raffaele",[GREEN],,,,,
"BALZANI, Francesca",,,,,,
"BARTOLOZZI, Paolo",[GREEN],[GREEN],[GREEN],[GREEN],,
"BERLATO, Sergio",[GREEN],,[GREEN],,,
"BERLINGUER, Luigi",,,,,,
BIZZOTTO. Mara,,,,,,
"BONSIGNORE, Vito",,,,,,
"BORGHEZIO, Mario",,,,,,
"BORSELLINO, Rita",,,,,,
"CANCIAN, Antonio",,,,,,
"CARONNA, Salvatore",,,,,,
"CASINI, Carlo",,,,,,
"COFFERATI, Sergio Gaetano",,,,,,
"COMI, Lara",[GREEN],[GREEN],[GREEN],[GREEN],,
"COSTA, Silvia",,,,,,
"COZZOLINO, Andrea",,,,,,
"CROCETTA, Rosario",,,,,,
"DE ANGELIS, Francesco",,,,,,
"DE CASTRO, Paolo",[GREEN],[GREEN],[GREEN],[GREEN],,
"DE MITA, Luigi Cirlaco",,,,,,
"DOMENICI, Leonardo",,,,,,
"DORFMANN, Herbert",,,,,,
"FIDANZA, Carlo",,,,,,
"FONTANA, Lorenzo",,,,,,
GARDINI Elisabetta,[GREEN],[GREEN],[GREEN],[GREEN],,
"GARGANI, Giuseppe",,,,,,
"GUALTIERI, Roberto",,,,,,
"IACOLINO, Salvatore",,,,,,
"IOVINE, Vincenzo",,,,,,
"LA VIA, Giovanni",,,,,,
"MASTELLA, Clemente",,,,,,
MATERA Barbara,,,,,,
"MAURO, Mario",[GREEN],[GREEN],,[GREEN],,
"MAZZONI, Erminia",,,,,,
"MILANA, Guido",,,,,,
"MORGANTI, Claudio",,,,,,
"MOTTI, Tiziano",,,,,,
"MUSCARDINI, Cristiana",[GREEN],[GREEN],,[GREEN],,
"PALLONE, Alfredo",[GREEN],[GREEN],,,,
"PANZERI, Pier Antonio",,,,,,
"PATRICIELLO, Aldo",,,,,,
"PIRILLO, Mario",,,,,,
"PITTELLA, Gianni",,,,,,
"PRODI, Vittorio",,,,,,[GREEN]
"PROVERA, Fiorello",,,,,,
"RINALDI, Niccolo",,,,,,
"RIVELLINI, Enzo",,,,,,
"RONZULLI, Licia",[GREEN],[GREEN],[GREEN],[GREEN],,[RED]
"ROSSI, Oreste",,,,,,
"SALATTO, Potito",[GREEN],[GREEN],,,,
"SALVINI, Matteo",[GREEN],[GREEN],[GREEN],[GREEN],,
"SARTORI, Amalia",,,,,,
"SASSOLI, David",[GREEN],[GREEN],[GREEN],,,
"SCOTTA', Glancarlo",,,,,,
"SCURRIA, Marco",[GREEN],[GREEN],[GREEN],[GREEN],,
"SERRACCHIANI, Debora",,,,,,
"SILVESTRIS, Sergio Paolo Francesco",[GREEN],[GREEN],,[GREEN],,
"SPERONI, Francesco Enrico",,,,,,
"SUSTA, Gianluca",,,,,,
"TATARELLA, Salvatore",,,,,,
TOIA. Pätrizia,,,,,,
"TREMATERRA, Gino",,,,,,
"UGGIAS, Giommaria",,,,,,
"VATTIMO, Gianni",,,,,,
"ZANICCHI, Iva",,,,,,
"ZANONI, Andrea",,,,,,
"GODMANIS, Ivars",,,,,,
"KAINETE, Sandra",,,,,,
"KARINS, Krisjanis",,,,,,
"MIRSKIS, Aleksandrs",,,,,,
"RUBIKS, Alfreds",,,,,,
"Sadurskis, Karlis",,,,,,
"VAIDERE, Inese",,,,,,
"ZDANOKA, Tatjana",,,,,,
"ZilE, Roberts",,,,,,
"ANDRIKIENE, Laima Liucifa",[GREEN],,[GREEN],[GREEN],,[RED]
"BALCYTIS, Zigmantas",[GREEN],,[GREEN],[GREEN],,[RED]
"BUNKEVICIUTE, Villa",,,,,,
"DONSKIS, Leonidas",,,,,,
"IMBRASAS, Juozas",[GREEN],,,[GREEN],,
"LANDSBERGIS, Vytautas",[GREEN],[GREEN],[GREEN],[GREEN],,
"MORKUNAITE-MIKULENIENE, Radvile",,,,,,
"PAKSAS, Rolandas",,,,,,
"PALECKIS, Justas Vincas",[GREEN],,,[GREEN],,
"SAUDARGAS, Algirdas",,,,,,
"TOMASEVSKIS, Valdemaras",,,,,,
"USPASKICH, Viktoras",,,,,,
"ATTARD-MONTALTO, John",,,,,,
"BUSUTTIL, Simon",[GREEN],[GREEN],[GREEN],[GREEN],,
"CASA, David",,,,,,
"GRECH, Louis",,,,,,
Joseph CUSCHIERI,,,,,,
"SCICLUNA, Edward",,,,,,
"BELDER, Bastiaan",,,,,,
"BERMAN, Thijs",[RED],[RED],[RED],[RED],,
"BOZKURT, Emine",,,,,,
"CORNELISSEN, Marije",[RED],[RED],[RED],[RED],,
"DE JONG, Cornelis Dennis",[RED],[RED],[RED],[RED],,
"de LANGE, Esther",[GREEN],[GREEN],,[GREEN],,
"EICKHOUT, Bas",[RED],[RED],[RED],[RED],,
"GERBRANDY, Gerben Jan",,,,,,
HARTONG Lucas,,,,,,
"in't VELD, Sophia",,,,,,
"LIOTARD, Kartika Tamara",[RED],[RED],[RED],[RED],,
"MADIENER, Barry",,,,,,
"MANDERS, Toine",[GREEN],[GREEN],[GREEN],[GREEN],,
"MERKI ES, Judith",[RED],[RED],[RED],[RED],,
"MULDER, Jan",,,,,,
"OOMEN-RUIJTEN, Ria",,,,,,
"SARGENTINI, Judith",,,,,,
"SCHAAKE, Marietie",,,,,,
"STASSEN, Laurence",,,,,,
"VAN BAALEN, Hans",[GREEN],[GREEN],[GREEN],[GREEN],,
"VAN DALEN, Peter",[RED],[RED],[RED],[RED],,
"VAN DE CAMP, Wim",[GREEN],[GREEN],[GREEN],[GREEN],,
"VAN DERSTOEP, Daniel",,,,,,
"van NISTELROOIJ, Lambert",,,,,,
"WORTMANN-KOOL, Corien",,,,,,
"ZIJLSTRA, Auke",,,,,,
"BIELAN, Adam",[GREEN],[GREEN],[GREEN],[GREEN],,
"BORYS, Piotr",,,,,,
Bratowski,,,,,,
"BUZEK, Jerzy",[GREEN],,[GREEN],[GREEN],,
"CYMANSKI, Tadeusz",,[RED],,,,
"CZARNECKI, Ryszard",,,,,,
"GERINGER de OEDENBERG, Lidia Joanna",,,,,,
"GIEREK, Adam",[GREEN],[GREEN],[GREEN],[GREEN],,
"GRÖBARCZYK, MarekJözef",,,,,,
"GRZYB, Andrzej",[GREEN],[GREEN],[GREEN],[GREEN],,
"HANDZLIK, Malgorzata",[GREEN],[GREEN],[GREEN],[GREEN],,
"HIBNER, Jolanta Emilia",,,,,,
"HÜBNER, Danuta Maria",[GREEN],[GREEN],[GREEN],[GREEN],,
"JAZLOWIECKA, Danuta",,,,,,
"JEDRZEJEWSKA, Sidonia Elzbieta",,,,,,
"KACZMAREK, Filip",,,,,,
"KALINOWSKI, Jaroslaw",[GREEN],[GREEN],[GREEN],[GREEN],,
"KAMINSKI, MichalTomasz",,,,,,
"KOLARSKA-BOBINSKA, Lena",,,,,,
"KOWAL, Pawel Robert",[GREEN],[GREEN],[GREEN],[GREEN],,
KOZEOWSKI Jan,,,,,,
"KURSKI, Jacek Olgierd",,,,,,
"LEGUTKO, Ryszard Antoni",,,,,,
"LIBERADZKI, Boguslaw",[GREEN],[GREEN],[GREEN],[GREEN],,
"LISEK, Krzysztof",,,,,,
"LUKACIJEWSKA, Elzbieta Katarzyna",[GREEN],[GREEN],[GREEN],[GREEN],,
"MARCINKIEWICZ, Bogdan Kazimierz",,,,,,
"MIGALSKI, Marek",,,,,,
"NITRAS, Slawomir Witold",,,,,,
"OLBRYCHT, Jan",,,,,,
"OLEJNICZAK, Woiciech",[GREEN],[GREEN],[GREEN],[GREEN],,
"PIOTROWSKI, Miroslaw Mariusz",,,,,,
"POREBA, Tomasz Piotr",,,,,,
"PROTASIEWICZ, Jacek",,,,,,
"SARYUSZ-WOLSKI, Jacek",[GREEN],,[GREEN],[GREEN],,
"SENYSZYN,Joanna",,,,,,
"SIEKIERSKI, Czeslaw Adam",[GREEN],[GREEN],[GREEN],[GREEN],,
"SIWIEC, Marek",[GREEN],[GREEN],[GREEN],[GREEN],,
"SKRZYDLEWSKA, Joanna Katarzyna",[GREEN],[GREEN],[GREEN],[GREEN],,
"SONIK, Boguslaw",[GREEN],[GREEN],[GREEN],[GREEN],,
"SZYMANSKI, Konrad",,,,,,
"TRZASKOWSKI, Rafaf Kazimierz",[GREEN],[GREEN],[GREEN],[GREEN],,
"von THUN UND HOHENSTEIN, Róza Gräfin",[GREEN],[GREEN],[GREEN],[GREEN],,
"WALESA, Jaroslaw Leszek",,,,,,
"WtOSOWICZ, Jacek",,,,,,
"WOJCIECHOWSKI, Janusz",[GREEN],[GREEN],[GREEN],[GREEN],,
"ZALEWSKI, Pawel Ksawery",,,,,,
"ZASADA, Artur",,,,,,
"ZEMKE, Janusz",,,,,,
"ZIOBRO, Zbigniew",,,,,,
"ZWIEFKA, Tadeusz",,,,,,
Alda Sousa,,,,,,
"ALVES, Luis Paulo",,,,,,
"BASTOS, Regina",,,,,,
"CAPOULAS SANTOS, Luis Manuel",,,,,,
"CARVALHO, Maria Da Graca",,,,,,
"COELHO, Carlos",,,,,,
"CORREIA DE CAMPOS, Antonio",,,,,,
"DAVID, Mario",,,,,,
"ESTRELA, Edite",,,,,,
"FEIO, Diogo",,,,,,
"FERNANDES, Jose Manuel",,,,,,
"FERREIRA, Elisa",,,,,,
"FERREIRA, Joao",,,,,,
"GOMES, Ana Maria",,,,,,
"MATIAS, Maria",,,,,,
"MELO, Nuno",,,,,,
"MOREIRA, Vital",,,,,,
"PATRAO NEVES, Maria do ceu",,,,,,
"RANGEL, Paulo",,,,,,
"TAVARES, Rui",,,,,,
"TEIXEIRA DE JESUS, Nuno",,,,,,
"ZUBER, Ines Cristina",,,,,,
"BOJTINARU, Victor",,,,,,
"MÄNESCU, Ramona-Nicole",,,,,,
"SÖGOR, Csaba",,,,,,
"STOLOJAN, Theodor Dumitru",,,,,,
"TÔKÉS, László",,,,,,
"WEBER, Renate",,,,,,
"WINKLER, lullu",,,,,,
"ANTONESCU, Elena-Oana",,,,,,
"BÄSESCU, Elena",,,,,,
"BECALI, George",,,,,,
"BODU, Sebastian Valentin",,,,,,
"BUSO!, Cristian Sllviu",,,,,,
"CRETU, Corina",,,,,,
"CUTAS, George-Sabin",,,,,,
"DÄNCILÄ, Vasilica-Viorica",,,,,,
"ENCIU, loan",,,,,,
"IVAN, Cätälin-Sorin",,,,,,
"LUHAN, Constantln-Petru",,,,,,
MACOVEI. Monica-Luisa,,,,,,
"MARINESCU, Marian-Jean",,,,,,
"MATULA, Iosif",,,,,,
Minodora Cliveti,,,,,,
"NICOLAI, Norica",,,,,,
